GeographyKey,GeographyType,ContinentName,CityName,StateProvinceName,RegionCountryName
1,Continent,Asia,,,
2,Continent,Europe,,,
3,Continent,North America,,,
269,Country/Region,Asia,,,Armenia
270,Country/Region,Asia,,,Australia
271,Country/Region,Asia,,,Bhutan
272,Country/Region,Asia,,,China
273,Country/Region,Asia,,,India
274,Country/Region,Asia,,,Iran
275,Country/Region,Asia,,,Japan
276,Country/Region,Asia,,,Kyrgyzstan
277,Country/Region,Asia,,,Pakistan
278,Country/Region,Asia,,,Singapore
279,Country/Region,Asia,,,South Korea
280,Country/Region,Asia,,,Syria
281,Country/Region,Asia,,,Taiwan
282,Country/Region,Asia,,,Thailand
283,Country/Region,Asia,,,Turkmenistan
284,Country/Region,Europe,,,Denmark
285,Country/Region,Europe,,,France
286,Country/Region,Europe,,,Germany
287,Country/Region,Europe,,,Greece
288,Country/Region,Europe,,,the Netherlands
289,Country/Region,Europe,,,Ireland
290,Country/Region,Europe,,,Italy
291,Country/Region,Europe,,,Malta
292,Country/Region,Europe,,,Poland
293,Country/Region,Europe,,,Portugal
294,Country/Region,Europe,,,Romania
295,Country/Region,Europe,,,Russia
296,Country/Region,Europe,,,Slovenia
297,Country/Region,Europe,,,Spain
298,Country/Region,Europe,,,Sweden
299,Country/Region,Europe,,,Switzerland
300,Country/Region,Europe,,,United Kingdom
301,Country/Region,North America,,,Canada
302,Country/Region,North America,,,United States
303,State/Province,Asia,,Ahal Province,Turkmenistan
304,State/Province,Asia,,Armenia,Armenia
305,State/Province,Asia,,Beijing,China
306,State/Province,Asia,,Chubu,Japan
307,State/Province,Asia,,Chuy Province,Kyrgyzstan
308,State/Province,Asia,,Damascus,Syria
309,State/Province,Asia,,GuangDong,China
310,State/Province,Asia,,Hokkaido,Japan
311,State/Province,Asia,,Hong Kong,China
312,State/Province,Asia,,Islamabad Capital Territory,Pakistan
313,State/Province,Asia,,Kansai,Japan
314,State/Province,Asia,,Kanto,Japan
315,State/Province,Asia,,Krung Thep,Thailand
316,State/Province,Asia,,Maharashtra,India
317,State/Province,Asia,,Molonglo,Australia
318,State/Province,Asia,,National Capital Territory of Delhi,India
319,State/Province,Asia,,New South Wales,Australia
320,State/Province,Asia,,Seoul-jikhalsi,South Korea
321,State/Province,Asia,,Shanghai,China
322,State/Province,Asia,,Singapore,Singapore
323,State/Province,Asia,,Taiwan,Taiwan
324,State/Province,Asia,,Tehran,Iran
325,State/Province,Asia,,Thimphu District,Bhutan
326,State/Province,Asia,,Tohoku,Japan
327,State/Province,Asia,,West Bengal,India
328,State/Province,Asia,,Xinjiang,China
329,State/Province,Asia,,Yeongnam,South Korea
330,State/Province,Europe,,Alpes-Maritimes,France
331,State/Province,Europe,,Bas-Rhin,France
332,State/Province,Europe,,Bavaria,Germany
333,State/Province,Europe,,Bayern,Germany
334,State/Province,Europe,,Berlin,Germany
335,State/Province,Europe,,Bern,Switzerland
336,State/Province,Europe,,Bucuresti,Romania
337,State/Province,Europe,,Central Greece and Evvoia,Greece
338,State/Province,Europe,,England,United Kingdom
339,State/Province,Europe,,Hesse,Germany
340,State/Province,Europe,,Ile-del-France,France
341,State/Province,Europe,,Leinster,Ireland
342,State/Province,Europe,,Lisboa Region,Portugal
343,State/Province,Europe,,Ljubljana,Slovenia
344,State/Province,Europe,,Lombardia,Italy
345,State/Province,Europe,,Madrid,Spain
346,State/Province,Europe,,Midi-Pyrenees,France
347,State/Province,Europe,,Moskovskaya oblast,Russia
348,State/Province,Europe,,Nizhny Novgorod Oblast,Russia
349,State/Province,Europe,,Noord-Holland,the Netherlands
350,State/Province,Europe,,Nordrhein-Westfalen,Germany
351,State/Province,Europe,,North Rhine-Westphalia,Germany
352,State/Province,Europe,,Northwestern,Russia
353,State/Province,Europe,,Pays de la Loire,France
354,State/Province,Europe,,Provence-Alpes-Cote d'Azur,France
355,State/Province,Europe,,Province of Florence,Italy
356,State/Province,Europe,,Province of Turin,Italy
357,State/Province,Europe,,Rhineland-Palatinate,Germany
358,State/Province,Europe,,Rhone-Alpes,France
359,State/Province,Europe,,Roma,Italy
360,State/Province,Europe,,Scotland,United Kingdom
361,State/Province,Europe,,Staden Kobenhavn,Denmark
362,State/Province,Europe,,Stockholms,Sweden
363,State/Province,Europe,,Valletta,Malta
364,State/Province,Europe,,Venice,Italy
365,State/Province,Europe,,Warszawa,Poland
366,State/Province,North America,,Alaska,United States
367,State/Province,North America,,Alberta,Canada
368,State/Province,North America,,British Columbia,Canada
369,State/Province,North America,,Colorado,United States
370,State/Province,North America,,Connecticut,United States
371,State/Province,North America,,Florida,United States
372,State/Province,North America,,Maine,United States
373,State/Province,North America,,Maryland,United States
374,State/Province,North America,,Massachusetts,United States
375,State/Province,North America,,New Jersey,United States
376,State/Province,North America,,New York,United States
377,State/Province,North America,,Ontario,Canada
378,State/Province,North America,,Quebec,Canada
379,State/Province,North America,,South Carolina,United States
380,State/Province,North America,,Texas,United States
381,State/Province,North America,,Virginia,United States
382,State/Province,North America,,Washington,United States
383,State/Province,North America,,Wisconsin,United States
384,State/Province,Asia,,Tasmania,Australia
385,State/Province,Europe,,Hessen,Germany
386,State/Province,North America,,Mississippi,United States
387,State/Province,Europe,,Essonne,France
388,State/Province,Europe,,Hamburg,Germany
389,State/Province,Europe,,Hauts de Seine,France
390,State/Province,North America,,Ohio,United States
391,State/Province,Europe,,Seine Saint Denis,France
392,State/Province,North America,,Alabama,United States
393,State/Province,Europe,,Garonne (Haute),France
394,State/Province,North America,,Arizona,United States
395,State/Province,Europe,,Pas de Calais,France
396,State/Province,North America,,North Carolina,United States
397,State/Province,North America,,Minnesota,United States
398,State/Province,Europe,,Yveline,France
399,State/Province,Europe,,Loiret,France
400,State/Province,Europe,,Nord,France
401,State/Province,North America,,Wyoming,United States
402,State/Province,Europe,,Seine (Paris),France
403,State/Province,Europe,,Val de Marne,France
404,State/Province,Europe,,Brandenburg,Germany
405,State/Province,Europe,,Val d'Oise,France
406,State/Province,North America,,Kentucky,United States
407,State/Province,Asia,,Queensland,Australia
408,State/Province,North America,,Illinois,United States
409,State/Province,North America,,Utah,United States
410,State/Province,Europe,,Seine et Marne,France
411,State/Province,North America,,Oregon,United States
412,State/Province,Asia,,South Australia,Australia
413,State/Province,Europe,,Somme,France
414,State/Province,Europe,,Loir et Cher,France
415,State/Province,North America,,Montana,United States
416,State/Province,Europe,,Charente-Maritime,France
417,State/Province,North America,,California,United States
418,State/Province,Europe,,Moselle,France
419,State/Province,Europe,,Saarland,Germany
420,State/Province,Asia,,Victoria,Australia
421,State/Province,North America,,Missouri,United States
422,State/Province,North America,,Georgia,United States
423,City,Europe,Basingstoke Hants,England,United Kingdom
424,City,North America,Bellevue,Washington,United States
425,City,Asia,Bendigo,Victoria,Australia
426,City,Europe,Berks,England,United Kingdom
430,City,North America,Beverly Hills,California,United States
431,City,North America,Billings,Montana,United States
432,City,North America,Biloxi,Mississippi,United States
433,City,North America,Birmingham,Alabama,United States
434,City,North America,Bluffton,South Carolina,United States
435,City,Europe,Bobigny,Seine Saint Denis,France
436,City,North America,Bothell,Washington,United States
437,City,Europe,Bottrop,North Rhine-Westphalia,Germany
438,City,North America,Bountiful,Utah,United States
439,City,Europe,Bracknell,England,United Kingdom
440,City,North America,Braintree,Massachusetts,United States
441,City,North America,Branson,Missouri,United States
442,City,North America,Bremerton,Washington,United States
443,City,North America,Burbank,California,United States
